Product Name,Price,Rating,No. Of Items Sold,Link
"Hp 14S 11Th Gen Intel Core I3- 8Gb Ram/256Gb Ssd 14 Inches Fhd,Micro-Edge,Anti-Glare,IPS Display/Uhd Graphics/ Windows 11 Home/ Ms Office/ Alexa Built-in/ 1.46Kg/ Natural Silver - 14S-Dy2506Tu","38,990",4.2 out of 5 stars,"2,228",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0447151V9B07ZBYFE2A&url=%2FHP-Micro-Edge-Anti-Glare-Display-Graphics%2Fdp%2FB09MH9M5CV%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DLaptop%26qid%3D1656474257%26sr%3D8-12-spons%26psc%3D1&qualifier=1656474257&id=4717839331065662&widgetName=sp_mtf
"Hp 14S 11Th Gen Intel Core I3- 8Gb Ram/256Gb Ssd 14 Inches Fhd,Micro-Edge,Anti-Glare,IPS Display/Uhd Graphics/ Windows 11 Home/ Ms Office/ Alexa Built-in/ 1.46Kg/ Natural Silver - 14S-Dy2506Tu","38,990",4.2 out of 5 stars,"2,228",https://www.amazon.in//HP-Micro-Edge-Anti-Glare-Display-Graphics/dp/B09MH9M5CV/ref=sr_1_13?keywords=Laptop&qid=1656474257&sr=8-13
"(Renewed) Lenovo ThinkPad T420 Intel 2nd Gen Core i5 14 inches Business Laptop (4 GB, 500 GB, 1366x768, LED, Windows 7, Integrated Graphics, Black, 2 Kg)","18,304",3.3 out of 5 stars,18,https://www.amazon.in//Lenovo-T420-i5-4-GB-500-GB-Integrated/dp/B07KYH14QV/ref=sr_1_14?keywords=Laptop&qid=1656474257&sr=8-14
"ASUS TUF Gaming F15 (2021), 15.6"" (39.62 cms) FHD 144Hz, Intel Core i5-10300H 10th Gen, GTX 1650 4GB Graphics, Gaming Laptop (8GB RAM/512GB NVMe SSD/Windows 11/Black/2.30 Kg), FX506LH-HN258W","57,990",4.2 out of 5 stars,216,https://www.amazon.in//ASUS-i5-10300H-Graphics-Windows-FX506LH-HN258W/dp/B09RMTMBSM/ref=sr_1_15?keywords=Laptop&qid=1656474257&sr=8-15
"Honor MagicBook X 15, Intel Core i3-10110U / 15.6 inch (39.62 cm) FHD IPS Anti-Glare Thin and Light Laptop (8GB/256GB PCIe SSD/Windows 10/Aluminium Metal Body/1.56Kg), Silver, (BohrBR-WAI9A)","32,990",4.2 out of 5 stars,112,https://www.amazon.in//Honor-MagicBook-i3-10110U-Anti-Glare-BohrBR-WAI9A/dp/B09VPV28W3/ref=sr_1_16?keywords=Laptop&qid=1656474257&sr=8-16
"Lenovo IdeaPad Slim 3 10th Gen Intel Core i3 15.6"" FHD Thin & Light Laptop(8GB/1TB HDD/2Yr Warranty/Windows 11/Office 2021/220Nits/3months Xbox Game Pass/Platinum Grey/1.7Kg),81WB018YIN","32,990",3.8 out of 5 stars,596,https://www.amazon.in//Lenovo-IdeaPad-Warranty-Platinum-81WB018YIN/dp/B09Q92YBWG/ref=sr_1_17?keywords=Laptop&qid=1656474257&sr=8-17
"HP 14s, 5th Gen AMD Ryzen 3- 8GB RAM/512GB SSD 14 inch(35.6cm) Laptop, FHD IPS Micro-Edge Display/ Backlit Keyboard/Alexa/Windows 11/Fast Charge/Radeon Graphics/1.46Kg/Natural Silver) -14s-fq1089AU","38,990",4.2 out of 5 stars,155,https://www.amazon.in//HP-Micro-Edge-Keyboard-Graphics-14s-fq1089AU/dp/B09Q3JZ4YX/ref=sr_1_18?keywords=Laptop&qid=1656474257&sr=8-18
"Lenovo IdeaPad 3 Intel Celeron N4020 15.6"" HD Laptop (8GB/256GB SSD/Windows 11/Office 2021/3 Months Xbox Game Pass/Platinum Grey/1.7Kg), 81WQ00MQIN","28,980",4.7 out of 5 stars,7,https://www.amazon.in//Lenovo-IdeaPad-Celeron-Platinum-81WQ00MQIN/dp/B09YJ1Q16L/ref=sr_1_19?keywords=Laptop&qid=1656474257&sr=8-19
"HP 247 G8 Laptop (Athlon P-3045B HD/ 14 inch(35.56 cms) /8GB RAM DDR4 /1TB HDD / W11 SL)One Year Warranty, Black, 67U77PA)","28,798",3.7 out of 5 stars,95,https://www.amazon.in//HP-247-G8-Warranty-67U77PA/dp/B09RMP6MM7/ref=sr_1_20?keywords=Laptop&qid=1656474257&sr=8-20
"HP 14s, AMD Ryzen 5-5500U 14 inch( 35.6 cm) FHD, IPS, Micro-Edge Display Laptop (8GB RAM/512GB SSD /Radeon Graphics/Windows 11/Alexa/Backlit Keyboard/MS Office/1.46kg, 14s-fq1092au)","47,279",4.3 out of 5 stars,669,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08324291BQ7ENQ9VMB94&url=%2FHP-Micro-Edge-Graphics-Keyboard-14s-fq1092au%2Fdp%2FB09R1L73TM%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DLaptop%26qid%3D1656474257%26sr%3D8-21-spons%26psc%3D1&qualifier=1656474257&id=4717839331065662&widgetName=sp_btf
"Lenovo IdeaPad Slim 3 11th Gen Intel i3 15.6"" FHD Thin & Light Laptop (8GB/512GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Arctic Grey/1.65Kg), 82H802FJIN","38,480",4.1 out of 5 stars,118,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01647353NEETOWYOLQZF&url=%2FLenovo-IdeaPad-Windows-Warranty-82H802FJIN%2Fdp%2FB09Q5QLHSQ%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DLaptop%26qid%3D1656474257%26sr%3D8-22-spons%26psc%3D1&qualifier=1656474257&id=4717839331065662&widgetName=sp_btf
"Lenovo IdeaPad Slim 3 11th Gen Intel Core i5 15.6"" FHD Thin & Light Laptop(8GB/512GB SSD/Windows 11/Office 2021/FPR/2Yr Warranty/3months Xbox Game Pass/Platinum Grey/1.7Kg),81X800J1IN","50,990",,,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A0998323DE7726PUN8G5&url=%2FLenovo-IdeaPad-Warranty-Platinum-81X800J1IN%2Fdp%2FB09Y5V7BFH%2Fref%3Dsr_1_49_sspa%3Fkeywords%3DLaptop%26qid%3D1656474267%26sr%3D8-49-spons%26psc%3D1&qualifier=1656474267&id=2594862057260548&widgetName=sp_atf_next
"MSI Modern 14, Intel i5-10210U, 14"" FHD IPS-Level 60Hz Panel Laptop (8GB/512GB NVMe SSD/Windows 10 Home/Intel UHD Graphics/Carbon Grey/1.3Kg), B10MW-639IN","43,990",4.2 out of 5 stars,117,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg4_1?ie=UTF8&adId=A08278461IPNMSCOQHVPG&url=%2FMSI-Modern-14-i5-10210U-B10MW-639IN%2Fdp%2FB09NDTFY68%2Fref%3Dsr_1_50_sspa%3Fkeywords%3DLaptop%26qid%3D1656474267%26sr%3D8-50-spons%26psc%3D1&qualifier=1656474267&id=2594862057260548&widgetName=sp_atf_next
